edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,director,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
2017,short,"Belgian Short Film Out of Competition, 13rd Belgian Fantastic Film Day",,LE CHEVALIER BLANC,Bernard	Yerlès,2016,Belgium,,,"Jean-Michel Vovk,
Leatitia Reva, Jean-Louis Leclercq, Gabriel Almaer,
Max Brébant, Fabrizio Rongione, Bernard
Yerlès",,,,,,,22',,Bernard	Yerlès,,,,,,,,"A small boy, a provincial railway station and a white knight. Three parallel stories
linked with each other."
2017,short,"Belgian Short Film Out of Competition, 13rd Belgian Fantastic Film Day",,CRUELLE EST LA NUIT,Alan Deprez,2016,Belgium,,,"Kevin Dudjasienski,
Arnaud Bronsart, Bertrand Leplae, Pascal Gruselle,
Sabrina Sweet, Pierre Nisse, Evangelyn
Sougen, Michel Angély, Damien Marchal",,,,,,,21',"Horror, Thriller",Alan Deprez,,OK,https://www.imdb.com/title/tt6422636/?ref_=fn_al_tt_1,,,,,"Three radical activists want to kill a despicable rich piece of filth and find themselves
in the middle of an orgy."
2017,short,"Belgian Short Film Out of Competition, 13rd Belgian Fantastic Film Day",,EN FACE,Jeanne	Privat,2016,Belgium,,,"Nicole Colchat,
Bernard Graczyk",,,,,,,15',Thriller,Jeanne	Privat,,OK,https://www.imdb.com/title/tt5843106/?ref_=nm_flmg_dr_1,,,,,"Rose spends her days spying on the neighbors.
Ange, her husband, watches in silence, until…"
2017,short,"Belgian Short Film Out of Competition, 13rd Belgian Fantastic Film Day",,NO	OFFENSE,Kris Borghs,2016,Belgium,,,Herwig Ilegems,,,,,,,7',Animation,Kris Borghs,,OK,https://www.imdb.com/title/tt6610290/?ref_=fn_tt_tt_10,,,,,"Three comic-strip artists are condemned to
death. One of them does not accept his fate."
2017,short,European Short Film Competition,,ANIMAL (Short Film),"Fabrice Le Nezet, Jules Janaud",2016,France,,European Short Film Competition,"Mbissine Thérèse Diop, Issaka Sawadogo, Bass
Dhem, Lazare Minoungou, Ibrahim Darboe,
Joahkim Sigué, Ablaye Bathily",,,,,,,17',,"Fabrice Le Nezet, Jules Janaud",,,,,,,,"Jawak lives together with a strange animal of which he takes good care. He prepares
his vengeance."
2017,short,European Short Film Competition,,BLACK RING,Hasan can Dagli,2016,Turkey,,European Short Film Competition,"Turgay Dogan,
Dounia Jauneaud, Sait Erol, Yuce Eser",,,,,,,15',"Drama, Fantasy",Hasan can Dagli,,OK,https://www.imdb.com/title/tt5718934/?ref_=fn_tt_tt_1,,,,,"A mysterious encounter in an abandoned
house."
2017,short,European Short Film Competition,,BON	APPETIT,Erenik	Beqiri,2016,Albania,,European Short Film Competition,"Arben Bajraktaraj,
Romir Zalla, Ema Andrea, Elvin Minaj",,,,,,,18',"Drama, Horror",Erenik	Beqiri,,OK,https://www.imdb.com/title/tt6405242/?ref_=fn_al_tt_2,,,,,"A man enters an abandoned building. A waiter
welcomes him to a special and very exclusive dinner."
2017,short,European Short Film Competition,,DAWN	OF	THE	DEAF,Rob	Savage,2016,Uk,,European Short Film Competition,"Caroline Ward,
Stephen Collins",,,,,,,12',"Drama, Fantasy",Rob	Savage,,OK,https://www.imdb.com/title/tt5644824/?ref_=fn_al_tt_3,,,,,"When a strange sound eradicates the hearing,
the deaf must band together in order to survive."
2017,short,European Short Film Competition,,DRIP	DROP,Jonna Nilsson,2016,Sweden,,European Short Film Competition,Siham Shurafa,,,,,,,8',Horror,Jonna Nilsson,,OK,https://www.imdb.com/title/tt6179952/?ref_=fn_al_tt_1,,,,,"No more water in the house. And then it comes
out of the tap again… but in a different shape!"
2017,short,European Short Film Competition,,SPUTNIK  by Vicente Bonet,Vicente	Bonet,2016,Spain,,European Short Film Competition,"Nikita Yashchuk,
Sofia Feord",,,,,,,24',"Drama, Adventure",Vicente	Bonet,,OK,https://www.imdb.com/title/tt5370384/?ref_=fn_tt_tt_12,,,,,"Due to a technical failure, the first cosmonaut in space can not return to Earth. And
then he hears an unknown voice on the intercom."
2017,short,European Short Film Competition,,WHEN	DEMONS	DIE,Daniel	Ruebesam,2016,Germany,,European Short Film Competition,"Jonathan
Ohlrogge, Crispian Belfrage",,,,,,,18',"Drama, Horror",Daniel	Ruebesam,,OK,https://www.imdb.com/title/tt5639498/?ref_=fn_al_tt_1,,,,,"An 8-year old boy has never set foot outside
his house, because dangerous creatures are
preying on him."
2017,short,International Short Film Selection,,BEHIND,Angel	Gomez	Hernandez,2016,Spain,,,"Macarena Gomez, Lone Fleming, Javier Botet",,,,,,,15',"Drama, Fantasy",Angel	Gomez	Hernandez,,OK,https://www.imdb.com/title/tt5579794/?ref_=fn_al_tt_1,,,,,"Arianne will have to fight something far worse
than her most frightening nightmares!"
2017,short,International Short Film Selection,,THE CLEANSING HOUR (Short Film),Damien Leveck        ,2016,USA,,,"Sam Jaeger,
Heather Morris, Neil Grayston, Jonny Radtke",,,,,,,19',Horror,Damien Leveck        ,,OK,https://www.imdb.com/title/tt5546720/?ref_=fn_al_tt_2,,,,,"The creators of a popular but fake live web
series about an exorcist are going to have to deal with a real demon on set!"
2017,short,International Short Film Selection,,DOWNUNDER,Fernando	Gonzalez	Gomez,2017,Spain,,,"Niko
Verona, Maggie Civantos, Fernando Tielve,
Ramiro Blas, Marcial Alvarez",,,,,,,19',,Fernando	Gonzalez	Gomez,,OK,https://www.imdb.com/title/tt5947412/?ref_=fn_al_tt_2,,,,,"Daniel is walking in the burning son on a road with almost no traffic. This is not
something he can keep up."
2017,short,International Short Film Selection,,GEORGE,David	Coudyser,2016,France,,,"Guillaume Briat,
Sandra Dorset, Clara Camblor, Sarah Amsellem",,,,,,,7',,David	Coudyser,,,,,,,,"What would you do if a couple knocked on your door and just waltzed in asking
about George. But who’s George and what do they want?"
2017,short,International Short Film Selection,,PYOTR495,Blake Mawson	,2016,Canada,,,"Alex Ozerov,
Juliana Semenova, Max Rositsan, Justin Strazzanti",,,,,,,15',"Horror, Science-Fiction",Blake Mawson	,,OK,https://www.imdb.com/title/tt4884602/?ref_=fn_tt_tt_1,,,,,"Pyotr is gay and falls into a trap set up by
homophobes. But he has a secret his captors won’t like."
2017,short,International Short Film Selection,,SECRETIONS,Goran	Spoljaric,2016,Australia,,,"Zia Electric,
Chris Savva, David Hugh Macrae",,,,,,,13',Horror,Goran	Spoljaric,,OK,https://www.imdb.com/title/tt6199972/?ref_=fn_al_tt_1,,,,,"A mutated woman is kept prisoner in a cellar
and tries to escape."
2017,short,International Short Film Selection,,SUSPENDIDO,Fran	Vidal ,2016,Mexico,,,"Diego Cooper, Alan
Alarcon, Cecilia Areas",,,,,,,16',,Fran	Vidal ,,,,,,,,"A man wakes up with amnesia and is offered a
pill which will make him remember... or forget!"
2017,short,International Short Film Selection,,THE TUNNEL by André Ovredal      ,André Ovredal,2016,Norway,,,"Kyrre Haugen
Sydness, Siri Helene Müller-Osborne, Max
Amundsen, Maria J. Dingsoyr-Henriksen, Ella
Glenton Schjerven, Joachim Cossais",,,,,,,12',"Drama, Mystery",André Ovredal,,OK,https://www.imdb.com/title/tt4583446/?ref_=fn_tt_tt_5,,,,,"An overpopulated future asks for radical solutions. That’s what a family will find out
when they get stuck in traffic."
2017,short,"International Short Film Selection, Sci-Fi Short Film",,THE APP,Julian Merino,2016,Spain,,,"Carlos Areces,
Hugo Silva, Luis Zahera, Aino Sirje",,,,,,,16',"Drama, Comedy, Science-Fiction",Julian Merino,,OK,https://www.imdb.com/title/tt6162100/?ref_=nm_flmg_act_23,,,,,"An app which tells you what to do to be happy,
even if it’s mortally dangerous!"
2017,short,"International Short Film Selection, Sci-Fi Short Film",,F	MEAT,Sean	Bell,2016,Australia,,,"Ivan Kants, Harry
Pavlidis",,,,,,,18',"Drama, Fantasy, Science-Fiction",Sean	Bell,,OK,https://www.imdb.com/title/tt5429210/?ref_=fn_tt_tt_5,,,,,"There’s a funny smell to the revolutionary new
food for vegetarians."
2017,short,"International Short Film Selection, Sci-Fi Short Film",,GREEN LIGHT (Short Film),Kim	Seongmin,2016,South South Korea,,,,,,,,,,18',"Animation, Science-Fiction",Kim	Seongmin,,OK,https://www.imdb.com/title/tt5357362/?ref_=fn_tt_tt_4,,,,,"The ecosystem was destroyed by nuclear war.
Young Mari tries to save what she can. And
then, one day, she meets a broken robot-soldier."
2017,short,"International Short Film Selection, Sci-Fi Short Film",,ICARUS,Tom Teller,2016,USA,,,"Jason Tobias, Julia
Farino, Thurston Hill",,,,,,,20',"Drama, Adventure, Science-Fiction",Tom Teller,,OK,https://www.imdb.com/title/tt5315074/?ref_=fn_tt_tt_12,,,,,"When Chris’ mother wants to repair a broken satellite in orbit around Mars, something
goes wrong. He comes to the rescue."
2017,short,"International Short Film Selection, Sci-Fi Short Film",,MAN IN THE MOON,Monique Mulcahy,2016,Australia,,,"Pauline
Grace, JC Innamorati",,,,,,,14',"Mystery, Science-Fiction",Monique Mulcahy,,OK,https://www.imdb.com/title/tt6419152/?ref_=fn_tt_tt_4,,,,,"The alienation between a mother and her son
gets a cosmic dimension."
2017,short,"International Short Film Selection, Sci-Fi Short Film",,ORBITAL	INN,Pierre-Alain M’barga,2016,France,,,"Pauline
Lefèvre, Olivier Raynal, Aurore Erguy, Noah
Labastie",,,,,,,16',Science-Fiction,Pierre-Alain M’barga,,OK,https://www.imdb.com/title/tt6028736/?ref_=fn_al_tt_1,,,,,"2076, 24 billion Earthlings. To avoid the worst, no one is allowed to have children
anymore."
2017,short,"International Short Film Selection, Sci-Fi Short Film",,THEY WILL ALL DIE IN SPACE,Javier Chillon,2015,Spain,,,"Francesc Garrido,
Julio Perillan, Ben Temple",,,,,,,14',"Science-Fiction, Thriller",Javier Chillon,,OK,https://www.imdb.com/title/tt4164866/?ref_=fn_al_tt_1,,,,,"The spaceship Tantalus has gotten off course
and is wandering aimlessly through space."
2017,short,"International Short Film Selection, Sci-Fi Short Film",,TIMELAPSE,Aleix Castro,2016,Spain,,,"Julia Estarnell,
Edgar Moreno",,,,,,,11',Science-Fiction,Aleix Castro,,OK,https://www.imdb.com/title/tt6955800/?ref_=fn_al_tt_2,,,,,"In the near future, an implant drastically
changes the nature of work."
2017,short,3rd Courts Mais Trash Screening,,BESIDE,Vinícius José dos Santos,2016,Brazil ,,,,,,,,,,,,Vinícius José dos Santos,,,,,,,,Curiosity is a bad thing…
2017,short,3rd Courts Mais Trash Screening,,BRAADWORSTEN,Nick Verlinden,2016,Belgium,,,,,,,,,,,,Nick Verlinden,,,,,,,,The revenge of red pudding...
2017,short,3rd Courts Mais Trash Screening,,BÛCHE ROYALE,"Aline Le Sage, Lucy Vallin, Sarah Amrani",2015,France ,,,,,,,,,,,,"Aline Le Sage, Lucy Vallin, Sarah Amrani",,,,,,,,The valley of the dinosaurs…
2017,short,3rd Courts Mais Trash Screening,,COLONIC ADVENTURES,Jaime Ekkens,2016,USA,,,,,,,,,,,,Jaime Ekkens,,,,,,,,It feels good…
2017,short,3rd Courts Mais Trash Screening,,KIKI,Schaass,2016,France ,,,,,,,,,,,,Schaass,,,,,,,,It’s your dick!
2017,short,3rd Courts Mais Trash Screening,,MAYDAY,Sébastien Vaniek,2015,France ,,,,,,,,,,,,Sébastien Vaniek,,,,,,,,Help !
2017,short,3rd Courts Mais Trash Screening,,THE PROCEDURE,Calvin Reeder,2016,USA,,,,,,,,,,,,Calvin Reeder,,,,,,,,But why?
2017,short,3rd Courts Mais Trash Screening,,UN RÉFLEX,Zulma Rouge,2016,France ,,,,,,,,,,,,Zulma Rouge,,,,,,,,Clic…
2017,short,3rd Courts Mais Trash Screening,,SAUCE ANDALOUSE,Mathias Antonietti,2016,Switzerland ,,,,,,,,,,,,Mathias Antonietti,,,,,,,,This film won the Rémy S. Legrand Award at the last festival…
2017,short,3rd Courts Mais Trash Screening,,THE SUNKEN CONVENT,Michael Panduro,2016,Denmark,,,,,,,,,,,,Michael Panduro,,,,,,,,Danish poem …
2017,short,3rd Courts Mais Trash Screening,,TABLE FOR TWO,Marcos Britos,2016,Brazil ,,,,,,,,,,,,Marcos Britos,,,,,,,,Enjoy your meal …
2017,short,3rd Courts Mais Trash Screening,,TAMPOON,Jeanne Jo,2015,USA,,,,,,,,,,,,Jeanne Jo,,,,,,,,On a Wire…
2017,short,3rd Courts Mais Trash Screening,,THAT’S MY BOY !,Rudy Cervantez,2016,USA,,,,,,,,,,,,Rudy Cervantez,,,,,,,,So cute…
2017,short,3rd Courts Mais Trash Screening,,THIRD DATE,Mark Soulard,2015,Canada ,,,,,,,,,,,,Mark Soulard,,,,,,,,Beurk…
2017,short,3rd Courts Mais Trash Screening,,LA VOCE,David Uloth,2016,Canada ,,,,,,,,,,,,David Uloth,,,,,,,,BIFFF Opera…
2017,movie ,Opening,,THE GIRL WITH ALL THE GIFTS,Colm Mccarthy,2016,"UK , USA",Belgian,,"Gemma Aterton, Glenn Close,
Dominique Tipper, Sennia Nanua, Paddy
Considine, Anamaria Marinca, Lobna Futers",,,,,,,111',"Drama, Adventure",Colm Mccarthy,,OK,https://www.imdb.com/title/tt4547056/?ref_=fn_tt_tt_1,,,,,"The gifted and very talented Melanie has an incredible thirst for
learning. Every morning she counts the seconds before the beginning
of classes and prepares well in advance in her padded cell. Every time,
the ritual is the same. She takes place in a wheelchair where her arms,
legs and head are immobilized. Then two heavily armed soldiers take
her out of her cell to the classroom. There she joins the other pupils,
who also look like little Hannibal Lecters. You might think that this
is Donald Trump’s wet dream of a boot camp for illegals, but the
situation is even more serious. A virus has reduced the majority of
the world’s population into a bunch of ravenous cannibals that are
as hungry as they are violent. Melanie and the other children are a
hybrid species. They’re cannibals on a diet as long as the survivors
apply a special gel to their skin. But these kids might hold the key to
stop this global carnage, provided that everyone keeps their little tube
of ointment at hand. Otherwise they’ll turn into a free for all buffet.
It’s not that often that the English make a post-apocalyptic zombie
film. After all, it’s hard to surpass 28 Days Later. But with Colm
McCarthy’s adaptation of Mike Carey’s bestseller, we finally have a
worthy successor. The director of Outcast, Peaky Blinders and Doctor
Who has gathered a top-notch cast, including Glenn Close, Gemma
Arterton and Paddy Considine, for a survival epic that brilliantly reinvents
the cat and mouse game with fierce flesh eaters.
No wonder we’re kicking off the BIFFF with The Girl
With All The Gifts."
2017,movie ,Opening,,BEYOND THE GATES,Jackson Stewart,2016,USA,Belgian,,"Graham Skipper, Chase Williamson,
Sara Malakul Lane, Brea Grant, Barbara
Crampton, Justin Welborn, Matt Mercer
Producers : Barbara Crampton, Ian Keiser,
Jon Kondelik, Amanda Mortimer & Jackson
Stewart",,,,,,,84',"Horror, Adventure",Jackson Stewart,,OK,https://www.imdb.com/title/tt4687358/?ref_=fn_al_tt_1,,,,,"Months after the mysterious disappearance of their father, John
and Gordon, two brothers as tight as Hillary and Donald, decide to
liquidate the video club of their dad and get as much money out of it
as they can. There’s not a lot of respect for this shrine to 80ties movie
culture, where tapes of Delta Force 8 and American Ninja 12 jointly
gather dust on the shelves. While they’re clearing out the back room,
the brothers come across an interactive game that’s called Beyond the
Gates. Unable to resist the temptation and especially incredibly lucky
to still have a functioning vhs player at hand, John, Gordon and his
girlfriend Margot decide to play the game. A woman named Evelyn
appears on the screen to explain the game and sends shivers down
their spines when she says that, if they do well, they might get some
answers to their father’s disappearance...
Jackson Stewart’s feature debut has a delightfully retro atmosphere,
surfing on the nostalgia wave for all Stranger Things. With a solid
script by Stephen Scarlata (Final Girl) and supported by the legendary
Barbara Crampton (Re-Animator), Stewart offers us a clever mix of
Jumanji and Hellraiser that will delight fans of Lucio Fulci and Don
Coscarelli!"
2017,movie ,Closing,,THE BAR,Alex De La Iglesia,2017,Spain,Belgian,,"Mario Casas, Blanca Suarez, José
Sacristan, Carmen Machi, Terele Pavez,
Secun de la Rosa, Alejandro Awada",,,,,,,102',"Horror, Thriller",Alex De La Iglesia,,OK,https://www.imdb.com/title/tt5121816/?ref_=nm_flmg_dr_6,,,,,"A typical, sunny morning in the Spanish capital. Beautiful Elena
is walking through the city streets while she’s chatting on her mobile
about her love live. She decides to have a coffee in a nearby bar,
where the patrons are already gobbling up their breakfast. Suddenly
a loud bang sounds in the streets. In front of the bar lies the body of
a man with a gunshot wound to his head. One of the clients dares to
venture outside… and undergoes the same fate. The others panic
and desperately search for cover. What the hell is going on? Why are
the streets deserted? Is there a sniper on the roofs? Does anybody in
the bar have something to do with this? If they’re going to survive
this, they’ll have to work together. But that’s easier said than done!
BIFFF regular Alex De La Iglesia has another delight in store for us.
His latest film entirely takes place in a bar, where a colorful bunch of
characters will collide with each other. From one moment to the next,
they can switch from solidarity to selfishness, from helplessness to
pity and from compassion to hate. The Bar is a very feisty thriller and
a delicious dark comedy as only De La Iglesia is capable of delivering.
The cast is led by Blanca Suarez (Neon Flesh, My Big Night) as Elena,
with solid support by Mario Casas (The Invisible Guest, Witching and
Bitching), Terele Pavez (The Last Circus) and Jaime Ordonez (Torrente)."
2017,movie ,Closing,,XX,"Karyn Kusama, Roxanne Beznjamin, Annie Clark, Jovanka Vuckovic",2017,USA,Belgian,,"Natalie Brown, Melanie Lynskey,
Breeda Wool, Christina Kirk, Sheila Vand,
Kyle Allen, Angela Trimbur",,,,,,,80',Horror,"Karyn Kusama, Roxanne Beznjamin, Annie Clark, Jovanka Vuckovic",,OK,https://www.imdb.com/title/tt3322892/?ref_=fn_al_tt_1,,,,,"The Box : After peering into a shiny red gift box on a commuter
train, seven-year-old Danny Jacobs inexplicably stops eating. When
his father and sister also begin to waste away, Danny’s mother Susan
struggles to make the connection between herself, her dying family
and the mysterious box before it’s too late. The Birthday Party: A
harried housewife tries to keep her daughter, and the nosy neighbors,
from discovering a dark secret the morning of her daughter’s
eighth birthday party. Don’t Fall: A group of adventurous friends get
into trouble when they venture off the beaten path and trespass on
someone, or something else’s land on a camping trip. Her Only Living
Son: 18 years after narrowly escaping Manhattan, a narcissistic
actor husband and a cult with designs on her unborn child, Cora
finds herself face to face with a son who can no longer deny his
monstrous heritage.
Thank the gods of everything that’s unholy that women are breaking
through the glass ceiling of genre cinema in ever larger numbers. XX
is a new all-female helmed horror anthology featuring four dark tales
written and directed by fiercely talented women. Jovanka Vuckovic
(The Captured Bird) dares to open The Box. Annie Clark (St. Vincent)
rocks her directorial debut with The Birthday Party. Roxanne Benjamin
(Southbound) screams Don’t Fall. Karyn Kusama (Aeon Flux, The Invitation)
exorcises Her Only Living Son and award-winning animator Sofia
Carrillo (La Casa Trista) ties everything together with her disturbing
Brothers Quay-like animation segments."
2017,movie ,International Competition,,ATTRACTION,Fedor Bondarchuck,2017,Russia,International,International Competition,"Alexander Petrov, Irina
Starshenbaum, Rinal Mukhametov, Oleg
Menshikov, Sergey Garmash, Nikita Tarasov",,,,,,,132',"Drama, Romance, Science-Fiction",Fedor Bondarchuck,,OK,"https:,,www.imdb.com,title,tt4731148,?ref_=nv_sr_srsg_0",,,,,"“Breaking News!!!! According to a report that has just come in,
the unidentified flying object shot down over Moscow is allegedly
of extraterrestrial origin. The major part of the Chertanovo area is
cordoned off and police and military defense units are converging on
the crash site. Officials are discussing a possible emergency evacuation
of the locals. Our source in the Ministry of defense says that a
special committee is now trying to establish contact with the visitors.
We are preparing a special news report so stay tuned and be the first
to learn more soon.”
Attraction is the new film by Fedor Bondarchuk, not only the son of
legendary director Sergei Bondarchuck (who was the president of our
international jury in 1989) but also someone who sees things in a really
big way. After The 9th Company (2005), chosen to represent Russia
at the Oscars, and Stalingrad (2013), the biggest success of all times in
his native country, he has succeeded in a new challenge: the biggest
Russian science-fiction film of all time, capable of transforming the
blockbusters of Roland Emmerich and Michael Bay into an innocent
game of Lego. With mindblowing sfx from MainRoadlPost, Russia’s
leading visual effects company that was behind such blockbusters
as Wanted, Metro and Stalingrad."
2017,movie ,"International Competition, Critics Selection",,A DARK SONG,Liam Gavin,2016,"Ireland , UK",Belgian,"International Competition, Critics Selection","Mark Huberman, Susan Loughnane,
Steve Oram, Catherine Walker",,,,,,,100',"Drama, Horror, Fantasy",Liam Gavin,,OK,"https:,,www.imdb.com,title,tt4805316,?ref_=nv_sr_srsg_0",,,,,"Devastated by the death of her young son, Sophia would like to
be able to speak to him one last time. But she’s not going to screw
around with Ouija boards or waste her time with charlatans. She rents
a large manor lost in the Irish forests and calls on Joseph Solomon, an
occultist specializing in black magic. He subjects her to a strict diet:
no sex or alcohol (at least for her) during the session. It’s not because
he considers her an alcoholic nymphomaniac, but it’s because this
famous session will last for six months. It’s an emotional and physical
investment that will push both of them to the edge and beyond, with
doubt and paranoia constantly switching places. Will the effort pay
off? Sophia did not tell Joseph her true motivations to undergo this
ordeal. And nuance is important to occultists. Good intentions bring
good spirits. Bad intentions on the other hand...
The feature debut by Liam Gavin, a former story-boarder for Simon
Hunter (Lighthouse, Mutant Chronicles) and Jake West (Evil Aliens), is
a disconcerting piece of work that has been described by many as a real
masterpiece! Unique in its treatment, A Dark Song plunges us into pagan
rituals that will break your body and mind. No one will get out of this
unharmed. With terrific performances by Steve Oram (The World’s End,
Sightseers) and Catherine Walker (Dark Touch)."
2017,movie ,International Competition,,DEAD MAN TELLS HIS OWN TALE,Fabian Forte,2016,Argentina,Belgian,International Competition,"Diego Gentile, Emilia Attias, Damian
Dreizik, Moro Anghileri, Fiorela Duranda,
Viviana Saccone",,,,,,,90',"Comedy, Horror, Fantasy",Fabian Forte,,OK,"https:,,www.imdb.com,title,tt5773298,?ref_=nv_sr_srsg_0",,,,,"Angel is one of those typical macho’s who does not hold women
in high regard. With his fancy talk, his tight suit and his fashionable
job as a director of publicity spots, he has ample opportunity to grab
as many young aspiring actresses by the pussy as he can. His wife
and kid are left to deal with the consequences. This is now drastically
coming to an end. One night, when there’s once again not enough
blood flowing through his brains and too much through his nether
regions, he walks into a trap set up by a circle of Celtic Goddesses.
They transform him into a zombie and make him a pawn in their plan
to end male dominance one and for all. Luckily Angel’s not alone. He’s
part of a brotherhood of undead macho’s. They do not only exchange
tips in how to mask their increasingly penetrating body odor, they
also come up with a plan to sabotage the Goddesses.
Dead Man Tells His Own Tale is a hilarious fable about the battle of the
sexes. Director Fabian Forte (Mala Carne, La Corporacion) is generous
with dark humor to crucify the sexist reflexes of men, without turning
his film into a feminist manifesto. The script was written by Forte
and Nicolas Britos (Kryptonita, BIFFF 2016) and the martyr of the
incorrigible macho’s is a part by Diego Gentile (Wild Tales)."
